,形容词中,性别偏度GS_x,情感极性_x,情感强度_x,情感分类_x,score,score_literature,score_renmin,score_weibo,score_zhihu,形容词
78,冷漠,3.009259259,2,3,贬责,-0.487872216,0.025252013,-0.400518585,0.484864426,0.507896123,indifferent
79,丰满,1.546296296,1,5,赞扬,0.042328501,0.211248158,0.642684012,-0.111032485,0.004237798,Plump
80,慎重,3.157407407,1,5,赞扬,-0.444012239,-0.199166196,-0.305096118,0.158628654,0.671102922,prudent
81,勤劳,2.907407407,1,5,赞扬,0.221933787,-0.239582673,1.377562715,-1.522670201,-0.015399272,hardworking
82,踏实,3.166666667,0,7,安心,-0.909457976,-0.563121063,-1.084869281,-0.009879603,-0.254024167,down-to-earth
83,潇洒,3.62037037,1,5,赞扬,-0.642263534,-1.044005781,0.530238948,0.150015258,-1.036948435,Dashing
84,滑稽,3.277777778,0,3,贬责,-0.224516389,-0.463973513,-0.041590978,0.65022552,1.567473326,Funny
85,专心,3.027777778,1,5,赞扬,0.4880714,1.30224229,-0.328919744,-0.249973174,-0.025798233,concentrated
86,抑郁,3.009259259,0,9,烦闷,-0.028983051,0.324767286,-0.790728066,1.76844688,1.112707247,depressed
87,帅气,4.342592593,1,5,赞扬,-1.374300573,0.494226834,0.791104422,0.701473748,-0.113922481,handsome
88,敏锐,3.111111111,1,5,赞扬,-0.548922578,-1.338887825,0.13731086,0.108361507,0.034443985,perceptive
89,无耻,3.472222222,2,9,憎恶,-0.25970478,0.500328892,0.604722514,0.994817566,1.701297901,shameless
90,愚蠢,3.064814815,2,7,贬责,-0.885747943,0.879895038,0.540956538,0.146885172,1.424909381,Stupid
91,自私,2.972222222,2,7,贬责,-0.584501046,0.376034449,-0.077529728,-0.238495981,0.090047415,Selfish
92,老实,3.333333333,1,3,赞扬,-0.774983406,-0.251820245,-0.014332546,1.07712593,0.851140282,Honest
93,机智,3.101851852,1,5,赞扬,-0.037927538,-0.980788999,0.462246644,0.652434955,1.016884289,resourceful
94,勤勉,3.064814815,1,1,赞扬,0.676662203,-0.103479365,0.052535063,-0.094362026,-0.995766342,Diligent
95,任性,2.694444444,2,3,贬责,0.421857689,1.133065844,-0.682842114,0.51332074,-0.573511396,capricious
96,正直,3.240740741,1,5,赞扬,0.885974841,-0.362091807,0.90612674,-0.564606784,-0.447476681,upright
97,贪婪,3.175925926,2,7,贬责,0.177150089,-0.037093392,-0.430106759,-0.382198644,-0.197992406,Greedy
98,可笑,2.990740741,2,1,憎恶,-0.725283023,0.30899181,0.125404185,-0.03651538,0.563256805,Ridiculous
99,辛勤,2.925925926,1,5,赞扬,0.799997804,-0.752491452,0.889883883,-1.073661896,-0.541060042,hard-working
100,贴心,2.537037037,1,5,喜爱,-0.65269819,-0.738348921,-0.267958315,1.137561821,0.975735406,thoughtful
101,残暴,3.944444444,2,9,贬责,0.473201482,-0.95112204,0.166710853,0.365566461,0.561836529,Brutal
102,忧郁,2.981481481,0,3,烦闷,-0.590988967,-0.459165359,0.749121068,1.589654724,0.061585555,melancholy
103,无私,3,1,5,赞扬,0.013150667,-0.438534267,-0.479929777,0.468833109,-0.646973106,unselfish
104,慷慨,3.351851852,1,5,赞扬,0.685825914,-0.729419779,0.07049368,0.236551908,-0.272033856,generous
105,高明,3.259259259,1,7,赞扬,-0.967061644,-0.303687272,0.493089289,1.180207594,1.021448119,brilliant
106,真挚,2.990740741,1,5,赞扬,-0.271320945,-0.46708329,0.676410576,0.549370096,0.350987455,Sincerity
107,麻木,3.018518519,2,3,贬责,-2.06930547,-0.340482957,-0.785845284,0.184917135,0.205534609,Numb
108,友善,3,1,5,赞扬,-0.080635332,-0.732285578,0.288301709,1.239641923,1.82234689,friendly
109,虚弱,2.833333333,0,1,贬责,-0.5808195,-0.709067166,0.168634932,0.842215781,-0.855805842,Weak
110,清纯,1.916666667,1,5,赞扬,-0.387708638,1.18686296,0.432074608,0.989617046,-0.58797587,Pure
111,坚韧,3.175925926,1,5,赞扬,0.172133836,-0.461899615,1.207898147,-0.640141251,0.976309406,Tough
112,幼稚,2.916666667,2,7,贬责,-1.060472627,0.807040466,0.761579262,0.252904393,0.885655865,childish
113,质朴,3.027777778,1,5,赞扬,0.093067978,-0.434631126,-0.279799246,-0.586224711,-1.095482045,simple
114,沉着,3.240740741,1,3,安心,-0.29152177,-0.378034876,0.256754299,-0.301166881,1.27215895,calm
115,苛刻,2.990740741,2,5,贬责,0.124278774,0.539237055,0.042393244,0.384143622,0.085706246,Harsh
116,开朗,3,1,5,赞扬,-0.337422487,-0.062246085,0.623831706,0.815036732,-0.305299522,cheerful
117,平庸,3.185185185,2,3,贬责,-1.108479742,0.476438645,-1.005229935,-0.389944417,0.054978357,Mediocre
118,勤俭,2.962962963,1,5,赞扬,0.395846906,0.565657591,0.052520614,-0.411058412,-0.570672777,thrifty
119,时髦,2.481481481,1,5,赞扬,-0.377115081,0.290580504,0.051263917,1.866190919,-0.88004343,Fashionable
120,虚伪,3.037037037,2,9,贬责,-0.799288944,-0.179992485,0.249881878,0.224416396,-0.761455718,Hypocritical
121,怪异,3.166666667,2,1,贬责,-0.116101756,0.208191241,-0.720054797,0.816075296,0.693109852,Weird
122,浮躁,3.074074074,2,5,烦闷,-0.40411169,0.223096913,-0.160634258,0.572504072,-1.860720748,flamboyant
123,尊贵,3.064814815,1,5,尊敬,0.001372506,-0.600039149,0.129343408,1.018214637,0.285399574,Respectable
124,精明,3.101851852,1,5,赞扬,0.135041371,0.078624582,1.601598224,-0.106961426,-0.030267001,shrewd
125,纯真,2.527777778,1,5,赞扬,0.11332759,0.681472267,0.405493996,-0.223129687,-0.263064948,Innocence
126,虔诚,3.018518519,1,7,尊敬,0.391747248,0.138998227,-0.706598274,1.226450688,0.442078258,Devotional
127,圆润,2.305555556,1,9,赞扬,-0.86974113,0.352181314,0.453460031,-0.461753862,-0.640141331,rounded
128,谦虚,3.046296296,1,5,赞扬,-0.144265391,-0.191689312,-0.107090433,0.085762872,-0.822879623,modest
129,虚心,3,1,5,赞扬,0.190758841,-0.498215908,-0.755470011,-0.504059334,-0.870997396,modest
130,淳朴,3.148148148,1,5,赞扬,-0.771371904,-0.005369442,0.608784579,0.595137969,-0.507545403,Simple
131,自负,3.361111111,2,7,贬责,-0.352806318,0.345549347,0.774222551,-0.385455981,-0.931429302,Self-possessed
132,稳重,3.509259259,1,5,赞扬,-1.14351472,0.185278155,0.120896461,1.039773213,-0.681513429,Stable
133,独裁,3.731481481,2,7,憎恶,-0.127408035,0.916385956,-0.58620002,0.159435021,0.414901302,authoritarian
134,庄重,2.833333333,1,5,赞扬,-0.332939461,-0.188373684,0.137240039,0.883874684,-1.072556087,dignified
135,端庄,1.592592593,1,5,赞扬,0.904624385,0.218103043,2.047819273,-0.052083136,-1.08196973,dignified
136,能干,2.972222222,1,5,赞扬,-0.10068175,0.271587383,0.460595178,-0.226552838,-0.267848284,competent
137,丑陋,3.148148148,2,5,贬责,-0.237780664,-0.187457524,-0.132267133,-0.173370433,0.377654136,ugly
138,勇猛,4.203703704,1,5,赞扬,-0.242407226,-0.636467755,0.926662593,-0.222484488,-0.188781891,courageous
139,无畏,3.277777778,1,5,赞扬,0.497314413,-1.363912453,-0.697374636,-0.357570838,-0.01014162,fearless
140,博学,3.222222222,1,5,赞扬,-0.045381254,0.173482392,0.62013049,0.585799081,0.078268963,knowledgeable
141,冷淡,2.888888889,2,5,贬责,-0.199562208,0.562778269,-1.081538855,1.971241615,0.294385947,indifferent
142,显赫,3.361111111,0,5,赞扬,1.450572399,-0.935395039,-0.925506431,0.089983044,-0.166352354,illustrious
143,软弱,2.777777778,2,5,贬责,-0.659856465,0.002611524,0.918728531,1.083849388,-0.344441706,Weak
144,狭隘,3.111111111,2,5,憎恶,-0.76866997,0.309771692,0.105649897,-0.310465166,-0.544081245,narrow-minded
145,妩媚,1.212962963,1,5,赞扬,0.796478275,-0.652970761,1.23472081,1.433967005,-1.089630829,feminine
146,健壮,4.268518519,1,3,赞扬,-0.953041667,-0.432174936,1.119707977,-0.203089597,0.304056477,robust
147,狡猾,3.277777778,2,5,贬责,-0.361188386,-0.730355435,0.86448752,-0.031546781,0.057642107,cunning
148,英明,3.851851852,1,7,赞扬,-0.781042202,-0.648929031,1.280986452,-1.008446092,-0.166774115,wise
149,倒霉,3.018518519,0,3,悲伤,-0.558586107,-0.240331345,-0.094568152,0.278431214,1.623801708,unlucky
150,清廉,3.472222222,1,5,赞扬,0.896259184,0.126360807,-0.983076558,0.837905368,-0.495954762,incorruptible
151,机灵,2.833333333,1,5,赞扬,-0.380253462,-0.37810804,0.830340378,0.71858766,0.579659542,Smart
152,糊涂,3,2,3,贬责,-0.038442033,0.77851381,-1.070879138,-0.079551935,0.775341744,confused
153,英俊,4.537037037,1,5,赞扬,0.110486782,-0.355142203,1.562301853,0.450332292,0.46908959,handsome
154,客气,3.018518519,0,3,尊敬,-0.892334031,-0.930062114,-0.896763797,0.558014318,-0.258939881,polite
155,固执,3.148148148,2,5,贬责,-0.692216255,1.080849237,-0.707528148,0.063856094,-0.358259479,stubborn
156,节俭,2.87962963,1,5,赞扬,0.457716909,-0.065948071,0.204968403,0.179292702,-0.136072174,thrifty
157,威武,4.435185185,1,3,赞扬,-0.061028007,0.045576218,-0.500905041,0.088098578,0.010964686,majestic
158,古怪,3.064814815,2,3,贬责,-0.383422314,0.675229901,-0.389198329,0.438968287,0.462681159,eccentric
159,豪放,3.796296296,1,5,赞扬,-0.449238929,-0.314364164,-0.183556689,0.951556475,-0.657475731,bold
160,难看,3.064814815,2,5,贬责,-0.678559946,0.430889591,0.344468383,0.483313324,0.259022663,unsightly
161,洒脱,3.37037037,1,3,赞扬,-0.262946701,-1.024397991,-0.233445443,0.008997347,-1.476460865,spontaneous
162,强健,4.12037037,1,5,赞扬,-0.25175805,-0.632408257,1.21675884,-0.07574761,-0.433982126,strong
163,倔强,3.092592593,0,1,贬责,0.137965307,1.165808055,0.051159558,1.117759813,-0.801133333,stubborn
164,兢兢业业,3.157407407,1,7,赞扬,-0.115775645,-0.909322518,-1.31619,-0.140103924,-0.780531575,conscientious
165,懦弱,3.425925926,2,5,贬责,0.218920828,0.284944249,0.045703027,-0.22182153,-0.204598092,cowardly
166,冷酷,3.351851852,2,3,贬责,-0.556923098,-0.139534472,-0.46364246,0.531665859,-0.552667884,cold
167,凶恶,3.62962963,2,3,贬责,-0.412407992,-0.817065497,0.635987699,-0.082891828,-0.234803264,vicious
168,威严,3.935185185,1,5,赞扬,0.823194386,-0.51945511,0.306356728,0.759088335,-0.721904116,majestic
169,愚昧,2.953703704,2,7,贬责,-0.32524129,-0.122997833,0.778587664,-0.09441807,-0.012160666,Foolish
170,清秀,2.888888889,1,5,赞扬,-0.438306793,0.525422138,1.403736677,0.477590309,-0.209546201,clean
171,镇定,3.12037037,1,5,赞扬,-0.134507343,-0.031213459,0.503333581,1.327196189,-0.42604858,Calm
172,正经,3.185185185,1,7,赞扬,-0.739383406,-0.403004056,-0.623786688,0.158165787,-0.034475722,decent
173,硬朗,3.759259259,1,3,赞扬,-1.503700701,0.487878715,0.938389394,0.315691872,-0.884721063,hard-headed
174,嚣张,3.268518519,2,7,憎恶,-0.22434407,-0.261755641,-0.066933853,0.548044962,0.474956226,arrogant
175,猖狂,3.657407407,2,7,憎恶,-0.494564399,-0.966468227,0.683370112,0.660695819,-0.008726558,rampant
176,开明,3.231481481,1,3,赞扬,0.73226171,0.242447041,1.027601353,-0.361684771,-0.293485299,enlightened
177,憔悴,2.916666667,0,5,悲伤,0.428882897,1.02593268,-0.099123744,2.059415013,0.537180977,emaciated
178,凶狠,3.444444444,2,5,贬责,-0.312414981,-0.075724053,0.456680157,-0.623420938,0.235693122,fierce
179,聪慧,2.185185185,1,5,赞扬,1.073555057,0.728246702,1.653477147,-0.440254528,-1.104178886,intelligent
180,狂妄,3.546296296,2,7,憎恶,-0.101903569,0.362067569,1.007109514,-0.357617887,-0.164764641,arrogant
181,威风,4.166666667,1,5,尊敬,0.316901227,-0.539900897,-0.484269344,0.145824776,-0.210982661,majestic
182,懒惰,3.046296296,2,7,贬责,-0.224099598,0.673137226,-0.163504016,-0.378786161,-0.089412471,lazy
183,急躁,3.12962963,2,5,慌,-0.201339043,-0.027321764,-0.216041585,-0.231034335,-0.713074182,impatient
184,简朴,2.990740741,1,5,赞扬,0.304268445,-0.243966692,-0.541990247,0.274532936,-0.78868118,simple
185,神勇,4.231481481,1,7,赞扬,0.616922104,-0.369662556,-0.834053564,-0.239289682,0.71080091,courageous
186,纯朴,2.990740741,1,5,赞扬,0.207121582,-0.296095882,0.617952422,0.453961451,-0.061027212,pure and simple
187,悠闲,3.046296296,0,3,安心,-0.374195305,-0.685569877,-0.323494641,1.212957845,0.196911204,leisurely
188,爽快,3.138888889,1,5,喜爱,-0.612922375,-1.012391132,0.2174937,0.33425516,-0.603863299,quick
189,柔弱,1.953703704,0,1,贬责,0.071050347,0.289767296,0.697287927,0.706371647,-0.523984742,soft
190,稚嫩,2.722222222,0,3,喜爱,0.295775138,1.347804236,-0.156116547,0.066105144,-1.228480594,tender
191,慈悲,2.861111111,1,5,赞扬,-0.056744534,-0.789152162,-0.521234303,0.21527175,-0.672292458,compassionate
192,仁爱,2.972222222,1,7,喜爱,0.768730567,0.052701817,0.143770387,0.420358675,-2.038584495,benevolent
193,灵巧,1.981481481,1,5,赞扬,-0.011353666,-1.023046801,1.85203389,-0.099524663,-0.237115372,dexterous
194,阴险,3.435185185,2,9,贬责,-0.271975638,-0.851853631,0.087604163,0.456433118,0.868022793,sinister
195,果敢,3.481481481,1,5,赞扬,-0.033917668,-0.684682717,0.532587696,-0.993473251,-0.351870489,daring
196,猥琐,4.425925926,2,9,贬责,-1.200049425,-0.227618095,-0.42084776,0.482689397,1.809767496,indecent
197,羞涩,2.222222222,0,3,羞,0.169853472,0.05318482,0.48973856,0.290341271,0.682132367,shy
198,痴情,2.935185185,0,9,喜爱,-0.030579325,0.718979418,-0.443124356,0.32667304,-0.143175068,infatuation
199,正派,3.268518519,1,5,赞扬,-0.18793786,0.077027675,-0.516902834,0.242671328,-0.693108584,decent
200,仁慈,2.916666667,1,5,赞扬,0.778263683,-0.679169401,0.102644068,0.779162055,-0.672673543,benevolent
201,慈祥,2.851851852,1,5,喜爱,0.285019228,0.315555823,0.253450861,0.195812046,-0.512848253,kind-hearted
202,俏皮,2.092592593,1,5,赞扬,-0.078486814,-0.837771115,0.780925748,0.750292404,-0.72959349,playful
203,凶残,3.731481481,2,7,贬责,0.179887272,-0.27814025,0.715512852,1.41281355,0.401144412,cruel
204,蛮横,3.027777778,2,5,贬责,0.359935034,0.264724726,0.753375201,0.555618973,0.608498196,brutal
205,干练,3.027777778,1,5,赞扬,0.5889474,-0.51281365,0.825873686,0.976744931,-0.859902445,Competent
206,豁达,3.509259259,1,5,赞扬,0.101344241,0.046856234,-0.502445619,1.228546409,-0.639954449,generous
207,自大,3.37037037,2,7,贬责,-0.084129696,-0.46999636,-0.248781081,0.30216996,-0.437584837,arrogant
208,偏执,3.212962963,2,5,贬责,-0.005727691,0.856372023,-0.277507522,-0.482767543,-0.379572504,Paranoid
209,圣洁,2.12037037,1,5,赞扬,0.667544679,-0.13790684,-0.211669131,0.228929628,-0.737462913,sanctimonious
210,无赖,3.768518519,2,7,贬责,-0.29328309,0.341884134,0.578868147,0.256799972,0.608203836,rascal
211,吝啬,3.101851852,2,7,贬责,0.380464967,-0.435250516,-0.332746638,0.984492352,0.673855525,stingy
212,肤浅,2.87962963,2,7,贬责,-1.169903942,0.293529466,-0.78330014,-0.111568791,0.157202535,superficial
213,落寞,3.148148148,0,7,悲伤,-0.223235501,-0.27619743,-0.517546167,0.542451243,-1.248684875,despondent
214,乖巧,1.962962963,1,3,赞扬,-0.385533173,0.296032596,0.237245479,0.053097197,0.294990413,good-natured
215,文静,1.953703704,1,5,赞扬,0.430533927,0.153779542,1.06518781,0.72874607,-0.162041106,quiet
216,豪爽,3.685185185,1,7,赞扬,-0.161391598,-1.084489205,-0.57995268,-0.468881368,-0.382638391,brisk
217,笨拙,3.157407407,2,5,贬责,-1.051177453,0.036684308,0.576545045,0.450629429,0.430509844,clumsy
218,臃肿,2.888888889,2,3,贬责,-1.063265827,0.943039354,0.810917854,1.414329751,-0.306375042,bloated
219,矫健,3.601851852,1,5,赞扬,-0.357857057,-1.174470178,0.75613768,0.359793821,-0.400932938,athletic
220,萎靡,3.203703704,2,3,贬责,0.012251861,-0.314068869,-0.735200728,0.493028883,0.75683553,languid
221,马虎,3.055555556,2,3,贬责,-0.268142733,0.749464057,-1.177554252,0.311299647,-0.670235575,sloppy
222,和蔼,3.055555556,1,5,喜爱,0.185723741,-0.854354863,0.721963313,-0.036051137,-0.029979743,amiable
223,谦逊,3.277777778,1,5,赞扬,0.785947412,0.133541166,0.718717054,0.38582525,-0.936146171,humble
224,辛劳,2.888888889,1,5,赞扬,0.872638414,0.235475654,-0.544982508,-0.361002131,-1.435321488,hard-working
225,淘气,3.166666667,0,1,贬责,-0.899979498,0.478714615,0.736048546,0.248735749,1.666355715,mischievous
226,腼腆,2.694444444,0,1,羞,-0.489644884,0.309579784,0.609253771,0.119928826,-0.357956752,Shy
227,刚毅,4.009259259,1,5,赞扬,0.553979849,0.892845199,0.453410233,0.673042096,-1.116654348,Stalwart
228,浅薄,2.842592593,2,7,贬责,-1.221625194,0.129676368,-0.239467101,-0.072541467,-0.73787912,shallow
229,消沉,3.194444444,0,5,烦闷,-0.211331324,-0.161295039,-0.393595629,0.636090734,0.493987286,depressed
230,顽皮,3.074074074,3,3,贬责,0.047595205,-0.31970916,0.619091984,0.701300437,0.638441348,mischievous
231,可恶,3.185185185,2,7,憎恶,-0.766907685,0.563579819,0.621762843,0.293399158,0.893155997,Abominable
232,高傲,2.972222222,2,5,贬责,0.181693197,0.821895365,-0.032035113,0.186367417,-1.108989226,arrogant
233,厚道,3.564814815,1,5,赞扬,-0.851397047,-0.051606044,-0.04035802,1.076084212,0.255453828,generous
234,下流,4.212962963,2,7,贬责,-0.822480964,-0.16547964,-0.144098685,0.31770694,1.163437731,nasty
235,憨厚,4,1,5,赞扬,-1.087234482,-0.464010516,-0.174343794,-0.074626048,0.585863633,naive
236,穷困,3.064814815,0,5,烦闷,-0.318565727,-0.609131776,-0.537743805,0.318134194,-0.661366772,poor
237,耿直,3.509259259,1,3,赞扬,0.247707123,0.111369853,-0.147769078,0.568748079,0.513862329,straightforward
238,专一,3.083333333,1,5,赞扬,-0.457445078,0.503247867,-0.38267031,0.871990088,0.794997325,dedicated
239,斯文,4.009259259,1,5,赞扬,-0.833786605,0.200980796,0.383120734,-0.683303393,0.080663975,gentle
